Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
92	39	0	1.3086632	293.44775	293.452903	293.43839	293.46725	0.0288601685	0.00958817629	0	0	0	0	3
93	40	0	1.3228878	293.447536	293.452827	293.43839	293.46725	0.0288601685	0.00958817629	0	0	0	0	3
94	40	0	1.3371124	293.44724	293.452914	293.43839	293.46725	0.0288601685	0.00958817629	0	0	0	0	3
95	41	0	1.351337	293.447281	293.453094	293.43839	293.46725	0.0288601685	0.00958817629	0	0	0	0	3
96	41	0	1.3655616	293.447176	293.453326	293.43839	293.46725	0.0288601685	0.00958817629	0	0	0	0	3
97	42	0	1.3797862	293.447149	293.45357	293.4395	293.46725	0.0277502159	0.00958817629	0	0	0	0	3
98	42	0	1.3940108	293.446946	293.453776	293.442331	293.46725	0.0249188263	0.00958817629	0	0	0	0	3
99	42	0	1.4082354	293.446777	293.4539	293.446378	293.46725	0.020872266	0.00958817629	0	0	0	0	3
100	43	0	1.42246	293.446472	293.453903	293.446472	293.46725	0.0207784547	0.00958817629	0	0	0	0	3
101	44	0	1.4366846	293.446416	293.453776	293.446416	293.46725	0.0208337999	0.00958817629	0	0	0	0	3
102	44	0	1.4509092	293.44623	293.453527	293.44623	293.46725	0.021020692	0.00958817629	0	0	0	0	3
103	44	0	1.4651338	293.4462	293.453172	293.4462	293.46725	0.0201609241	0.00958817629	0	0	0	0	3
104	45	0	1.4793584	293.445962	293.452731	293.445962	293.46725	0.0175421311	0.00958817629	0	0	0	0	3
105	45	0	1.493583	293.445851	293.452222	293.445851	293.46725	0.016827735	0.00958817629	0	0	0	0	3
106	46	0	1.5078076	293.445642	293.451662	293.445642	293.46725	0.0173884852	0.00958817629	0	0	0	0	3
107	46	0	1.5220322	293.445805	293.451072	293.445642	293.46725	0.0179784717	0.00958817629	0	0	0	0	3
108	47	0	1.5362568	293.445798	293.450476	293.445642	293.466722	0.0185743684	0.00958817629	0	0	0	0	3
109	47	0	1.5504814	293.445879	293.449897	293.445642	293.465113	0.0191533217	0.00958817629	0	0	0	0	3
110	47	0	1.564706	293.445767	293.449359	293.445642	293.462971	0.0173292539	0.00958817629	0	0	0	0	3
111	48	0	1.5789306	293.445775	293.448882	293.445642	293.460561	0.0149193996	0.00958817629	0	0	0	0	3
112	48	0	1.5931552	293.445597	293.448466	293.445597	293.458501	0.0129043388	0.00958817629	0	0	0	0	3
113	49	0	1.6073798	293.445663	293.448109	293.445597	293.45648	0.0108831849	0.00958817629	0	0	0	0	3
114	49	0	1.6216044	293.445749	293.447811	293.445597	293.454926	0.00932942942	0.00958817629	0	0	0	0	3
115	49	0	1.635829	293.445924	293.447561	293.445597	293.453361	0.00776422115	0.00958817629	0	0	0	0	3
116	50	0	1.6500536	293.445891	293.447354	293.445597	293.45233	0.00673288663	0.00958817629	0	0	0	0	3
117	50	0	1.6642782	293.445952	293.447177	293.445597	293.451308	0.00571171924	0.00958817629	0	0	0	0	3
118	51	0	1.6785028	293.445796	293.447024	293.445597	293.450649	0.00505183909	0.00958817629	0	0	0	0	3
119	51	0	1.6927274	293.445847	293.44689	293.445597	293.450041	0.00444471311	0.00958817629	0	0	0	0	3
120	51	0	1.706952	293.445761	293.446771	293.445597	293.449759	0.00416265528	0.00958817629	0	0	0	0	3
121	52	0	1.7211766	293.445835	293.446662	293.445597	293.449403	0.00380630343	0.00958817629	0	0	0	0	3
122	52	0	1.7354012	293.445742	293.446561	293.445597	293.449156	0.00355949757	0.00958817629	0	0	0	0	3
123	53	0	1.7496258	293.445771	293.446466	293.445597	293.4487	0.00310368028	0.00958817629	0	0	0	0	3
124	53	0	1.7638504	293.445682	293.446383	293.445597	293.448508	0.0029109357	0.00958817629	0	0	0	0	3
125	53	0	1.778075	293.445694	293.446304	293.445597	293.448271	0.00267404141	0.00958817629	0	0	0	0	3
126	54	0	1.7922996	293.445586	293.44623	293.445586	293.448136	0.00255037569	0.00958817629	0	0	0	0	3
127	54	0	1.8065242	293.445682	293.446162	293.445586	293.44775	0.00216462922	0.00958817629	0	0	0	0	3
128	55	0	1.8207488	293.445608	293.446102	293.445586	293.447536	0.00195059704	0.00958817629	0	0	0	0	3
129	55	0	1.8349734	293.445672	293.44605	293.445586	293.447281	0.00169567818	0.00958817629	0	0	0	0	3
