Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
96	41	0	1.3655616	101223.778	101215.549	101198.633	101224.229	17.7389079	15.8337819	0	0	0	0	3
97	42	0	1.3797862	101223.878	101216.074	101198.633	101224.229	15.2178563	15.8337819	0	0	0	0	3
98	42	0	1.3940108	101223.928	101216.689	101198.633	101224.229	12.8327517	15.8337819	0	0	0	0	3
99	42	0	1.4082354	101224.028	101217.364	101198.633	101224.229	10.623024	15.8337819	0	0	0	0	3
100	43	0	1.42246	101224.074	101218.067	101198.633	101224.229	10.3927848	15.8337819	0	0	0	0	3
101	44	0	1.4366846	101224.186	101218.777	101198.962	101224.229	11.1025829	15.8337819	0	0	0	0	3
102	44	0	1.4509092	101224.261	101219.479	101199.591	101224.261	11.8053313	15.8337819	0	0	0	0	3
103	44	0	1.4651338	101224.337	101220.167	101200.607	101224.337	12.4927128	15.8337819	0	0	0	0	3
104	45	0	1.4793584	101224.353	101220.826	101202.129	101224.353	13.1523334	15.8337819	0	0	0	0	3
105	45	0	1.493583	101224.407	101221.445	101204.316	101224.407	13.7711776	15.8337819	0	0	0	0	3
106	46	0	1.5078076	101224.442	101222.004	101207.108	101224.442	14.3302126	15.8337819	0	0	0	0	3
107	46	0	1.5220322	101224.63	101222.491	101210.076	101224.63	14.5547208	15.8337819	0	0	0	0	3
108	47	0	1.5362568	101224.8	101222.9	101212.93	101224.8	11.8696268	15.8337819	0	0	0	0	3
109	47	0	1.5504814	101224.97	101223.234	101215.359	101224.97	9.61109107	15.8337819	0	0	0	0	3
110	47	0	1.564706	101225.042	101223.503	101217.338	101225.042	7.70466101	15.8337819	0	0	0	0	3
111	48	0	1.5789306	101225.11	101223.719	101218.892	101225.11	6.2175465	15.8337819	0	0	0	0	3
112	48	0	1.5931552	101225.146	101223.893	101220.245	101225.146	4.90069553	15.8337819	0	0	0	0	3
113	49	0	1.6073798	101225.324	101224.034	101221.316	101225.324	4.0071396	15.8337819	0	0	0	0	3
114	49	0	1.6216044	101225.513	101224.151	101222.224	101225.513	3.28880504	15.8337819	0	0	0	0	3
115	49	0	1.635829	101225.671	101224.246	101222.933	101225.671	2.73812392	15.8337819	0	0	0	0	3
116	50	0	1.6500536	101225.69	101224.323	101223.527	101225.69	2.16237376	15.8337819	0	0	0	0	3
117	50	0	1.6642782	101225.716	101224.383	101223.527	101225.716	2.18907934	15.8337819	0	0	0	0	3
118	51	0	1.6785028	101225.66	101224.432	101223.527	101225.716	2.18907934	15.8337819	0	0	0	0	3
119	51	0	1.6927274	101225.7	101224.476	101223.527	101225.716	2.18907934	15.8337819	0	0	0	0	3
120	51	0	1.706952	101225.748	101224.52	101223.527	101225.748	2.2209924	15.8337819	0	0	0	0	3
121	52	0	1.7211766	101225.868	101224.566	101223.527	101225.868	2.34031167	15.8337819	0	0	0	0	3
122	52	0	1.7354012	101225.936	101224.614	101223.527	101225.936	2.40850781	15.8337819	0	0	0	0	3
123	53	0	1.7496258	101226.041	101224.666	101223.527	101226.041	2.51401326	15.8337819	0	0	0	0	3
124	53	0	1.7638504	101226.114	101224.725	101223.527	101226.114	2.587148	15.8337819	0	0	0	0	3
125	53	0	1.778075	101226.178	101224.788	101223.527	101226.178	2.65026892	15.8337819	0	0	0	0	3
126	54	0	1.7922996	101226.206	101224.854	101223.527	101226.206	2.6792047	15.8337819	0	0	0	0	3
127	54	0	1.8065242	101226.299	101224.926	101223.527	101226.299	2.77146895	15.8337819	0	0	0	0	3
128	55	0	1.8207488	101226.34	101225.003	101223.527	101226.34	2.81242291	15.8337819	0	0	0	0	3
129	55	0	1.8349734	101226.393	101225.083	101223.536	101226.393	2.8565413	15.8337819	0	0	0	0	3
