Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
106	46	0	1.5078076	313.056316	313.056219	313.055417	313.056533	0.00111606391	0.000141192774	0	12.6	0	0	3
107	46	0	1.5220322	313.05634	313.056242	313.055417	313.056533	0.00111606391	0.000141192774	0	12.6	0	0	3
108	47	0	1.5362568	313.056348	313.056268	313.055417	313.056533	0.0010779499	0.000141192774	0	13	0	0	3
109	47	0	1.5504814	313.056345	313.056293	313.055447	313.056533	0.00099291571	0.000141192774	0	14.2	0	0	3
110	47	0	1.564706	313.05633	313.056318	313.055492	313.056533	0.000911788279	0.000141192774	0	15.4	0	0	3
111	48	0	1.5789306	313.056335	313.056341	313.055599	313.056533	0.000836734745	0.000141192774	0	16.8	0	0	3
112	48	0	1.5931552	313.056349	313.056362	313.055766	313.056533	0.000767077058	0.000141192774	0	18.4	0	0	3
113	49	0	1.6073798	313.056372	313.056379	313.055962	313.056533	0.000571293377	0.000141192774	0	24.7	0	0	3
114	49	0	1.6216044	313.056374	313.05639	313.056151	313.056533	0.000381989346	0.000141192774	0	36.9	0	0	3
115	49	0	1.635829	313.056383	313.056397	313.056289	313.056533	0.00024485834	0.000141192774	0	57.6	0	0	3
116	50	0	1.6500536	313.056379	313.056399	313.056289	313.056533	0.00024485834	0.000141192774	0	57.6	0	0	3
117	50	0	1.6642782	313.056388	313.056399	313.056289	313.056533	0.00024485834	0.000141192774	0	57.6	0	0	3
118	51	0	1.6785028	313.056395	313.056398	313.056289	313.056533	0.00024485834	0.000141192774	0	57.6	0	0	3
119	51	0	1.6927274	313.056418	313.056396	313.056289	313.056533	0.00024485834	0.000141192774	0	57.6	0	0	3
120	51	0	1.706952	313.056412	313.056394	313.056289	313.056533	0.00024485834	0.000141192774	0	57.6	0	0	3
121	52	0	1.7211766	313.056409	313.056391	313.056289	313.056533	0.00024485834	0.000141192774	0	57.6	0	0	3
122	52	0	1.7354012	313.056386	313.056387	313.056289	313.056527	0.000238381358	0.000141192774	0	59.2	0	0	3
123	53	0	1.7496258	313.056368	313.056382	313.056289	313.0565	0.00021090944	0.000141192774	0	66.9	0	0	3
124	53	0	1.7638504	313.056347	313.056378	313.056289	313.056477	0.000188194016	0.000141192774	0	75	0	0	3
125	53	0	1.778075	313.056349	313.056374	313.056289	313.056467	0.000178885865	0.000141192774	0	78.9	0	0	3
126	54	0	1.7922996	313.056343	313.056371	313.056289	313.056465	0.000176191907	0.000141192774	0	80.1	0	0	3
127	54	0	1.8065242	313.056351	313.056368	313.056289	313.05645	0.000161873534	0.000141192774	0	87.2	0	0	3
128	55	0	1.8207488	313.056345	313.056365	313.056289	313.056442	0.000153510639	0.000141192774	0	91.9	0	0	3
129	55	0	1.8349734	313.056348	313.056362	313.056289	313.056425	0.000136882958	0.000141192774	0	100	0	0	3
